date,product,store,demand,is_promotion,unit_cost,selling_price,holding_cost_per_unit,stockout_cost_per_unit,temperature,is_weekend,is_holiday,product_enc,store_enc,day_of_week,day_of_month,month,quarter,week_of_year,year,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,roll_mean_30,roll_std_30,price_ratio,profit_margin
18-02-2022,Clothing,Store_A,104,0,30,42.64,0.6,4.5,27.8,0,0,0,0,4,18,2,1,7,2022,112,127,97,108,111.5714286,10.84523156,112.5714286,15.67317299,107.6,14.47852155,1.421333333,0.296435272
19-02-2022,Clothing,Store_A,110,0,30,49.91,0.6,4.5,28.1,1,0,0,0,5,19,2,1,7,2022,104,101,89,97,108.2857143,8.654753717,113.0714286,15.24398638,107.4666667,14.49312163,1.663666667,0.398918052
20-02-2022,Clothing,Store_A,85,0,30,44.64,0.6,4.5,29.7,1,0,0,0,6,20,2,1,7,2022,110,105,92,103,109.5714286,8.038597366,114.5714286,13.64220987,107.9,14.36314729,1.488,0.327956989
21-02-2022,Clothing,Store_A,116,0,30,52.12,0.6,4.5,31.7,0,0,0,0,0,21,2,1,8,2022,85,98,128,75,106.7142857,12.33848026,114.0714286,14.62592159,107.3,14.93930248,1.737333333,0.424405219
22-02-2022,Clothing,Store_A,118,0,30,43.52,0.6,4.5,29,0,0,0,0,1,22,2,1,8,2022,116,116,133,87,109.2857143,12.09289441,113.2142857,14.08861281,108.6666667,13.70711704,1.450666667,0.310661765
23-02-2022,Clothing,Store_A,137,1,30,52.94,0.6,4.5,33.1,0,0,0,0,2,23,2,1,8,2022,118,122,120,99,109.5714286,12.29982578,112.1428571,12.99619555,109.7,13.17560442,1.764666667,0.43332074
24-02-2022,Clothing,Store_A,108,0,30,42.51,0.6,4.5,34.1,0,0,0,0,3,24,2,1,8,2022,137,112,136,110,111.7142857,15.67071883,113.3571429,14.49459922,110.9666667,13.91720179,1.417,0.294283698
25-02-2022,Clothing,Store_A,101,0,30,43.82,0.6,4.5,29.6,0,0,0,0,4,25,2,1,8,2022,108,104,127,116,111.1428571,15.73137599,111.3571429,12.98287122,110.9,13.92677897,1.460666667,0.315381105
26-02-2022,Clothing,Store_A,103,0,30,41.51,0.6,4.5,30.6,1,0,0,0,5,26,2,1,8,2022,101,110,101,102,110.7142857,15.99702353,109.5,12.42051653,110.4,14.00640248,1.383666667,0.277282583
27-02-2022,Clothing,Store_A,123,1,30,43.97,0.6,4.5,32.8,1,0,0,0,6,27,2,1,8,2022,103,85,105,119,109.7142857,16.2656518,109.6428571,12.32637661,110.4333333,13.98689863,1.465666667,0.317716625
28-02-2022,Clothing,Store_A,115,0,30,50.76,0.6,4.5,33.2,0,0,0,0,0,28,2,1,9,2022,123,116,98,90,115.1428571,12.56222607,110.9285714,12.73676861,110.5666667,14.09006334,1.692,0.408983452
01-03-2022,Clothing,Store_A,120,0,30,40.37,0.6,4.5,27.1,0,0,0,0,1,1,3,1,9,2022,115,118,116,105,115,12.5565388,112.1428571,12.20880605,111.4,13.56110056,1.345666667,0.256873916
02-03-2022,Clothing,Store_A,131,0,30,50.86,0.6,4.5,34.2,0,0,0,0,2,2,3,1,9,2022,120,137,122,101,115.2857143,12.65851868,112.4285714,12.35198075,111.9,13.59348221,1.695333333,0.410145497
03-03-2022,Clothing,Store_A,115,0,30,43.96,0.6,4.5,28,0,0,0,0,3,3,3,1,9,2022,131,108,112,121,114.4285714,11.04320519,113.0714286,13.09999581,112.9,13.86474069,1.465333333,0.317561419
04-03-2022,Clothing,Store_A,115,0,30,47.71,0.6,4.5,32.9,0,0,0,0,4,4,3,1,9,2022,115,101,104,115,115.4285714,10.67484805,113.2857143,13.10565686,112.7,13.78692534,1.590333333,0.371201006
05-03-2022,Clothing,Store_A,106,0,30,43.12,0.6,4.5,31.9,1,0,0,0,5,5,3,1,9,2022,115,103,110,104,117.4285714,8.638231741,114.0714286,12.83303601,112.7,13.78692534,1.437333333,0.304267161
06-03-2022,Clothing,Store_A,102,0,30,43.77,0.6,4.5,29,1,0,0,0,6,6,3,1,9,2022,106,123,85,97,117.8571429,7.840675384,113.7857143,12.97440422,112.7666667,13.74818692,1.459,0.31459904
07-03-2022,Clothing,Store_A,114,0,30,39.18,0.6,4.5,33.2,0,0,0,0,0,7,3,1,10,2022,102,115,116,89,114.8571429,9.406178314,115,10.6626595,112.9333333,13.57973473,1.306,0.234303216
08-03-2022,Clothing,Store_A,125,0,30,40.26,0.6,4.5,33.7,0,0,0,0,1,8,3,1,10,2022,114,120,118,92,114.7142857,9.411239481,114.8571429,10.66162885,113.7666667,12.80539577,1.342,0.254843517
09-03-2022,Clothing,Store_A,128,0,30,53.14,0.6,4.5,37.5,0,0,0,0,2,9,3,1,10,2022,125,131,137,128,115.4285714,10.04750621,115.3571429,10.97975159,114.8666667,12.27763128,1.771333333,0.435453519
10-03-2022,Clothing,Store_A,115,0,30,44.97,0.6,4.5,32.2,0,0,0,0,3,10,3,1,10,2022,128,115,108,133,115,9.309493363,114.7142857,9.817006997,114.8666667,12.27763128,1.499,0.332888592
11-03-2022,Clothing,Store_A,92,0,30,45.49,0.6,4.5,31.3,0,0,0,0,4,11,3,1,10,2022,115,115,101,120,115,9.309493363,115.2142857,9.625115955,114.2666667,11.79109346,1.516333333,0.340514399
12-03-2022,Clothing,Store_A,116,0,30,51.45,0.6,4.5,33,1,0,0,0,5,12,3,1,10,2022,92,106,103,136,111.7142857,12.73727189,114.5714286,10.86783742,113.3333333,12.41337803,1.715,0.416909621
13-03-2022,Clothing,Store_A,91,0,30,44.62,0.6,4.5,29.7,1,0,0,0,6,13,3,1,10,2022,116,102,123,127,113.1428571,12.54895177,115.5,10.34593937,112.6666667,11.66880112,1.487333333,0.32765576
14-03-2022,Clothing,Store_A,110,0,30,40.48,0.6,4.5,31.5,0,0,0,0,0,14,3,1,11,2022,91,114,115,101,111.5714286,14.68397247,113.2142857,11.9690535,111.4666667,11.99060935,1.349333333,0.258893281
15-03-2022,Clothing,Store_A,119,0,30,39.11,0.6,4.5,30.9,0,0,0,0,1,15,3,1,11,2022,110,125,120,105,111,14.65150732,112.8571429,11.98625587,111.7666667,11.83123666,1.303666667,0.232932754
16-03-2022,Clothing,Store_A,120,0,30,53.67,0.6,4.5,40.5,0,0,0,0,2,16,3,1,11,2022,119,128,131,98,110.1428571,13.84953154,112.7857143,11.94331851,112.2333333,11.83123666,1.789,0.441028508
17-03-2022,Clothing,Store_A,113,0,30,51.68,0.6,4.5,34.1,0,0,0,0,3,17,3,1,11,2022,120,115,115,116,109,12.38278375,112,10.97549719,112.9666667,11.59810726,1.722666667,0.419504644
18-03-2022,Clothing,Store_A,106,0,30,53.97,0.6,4.5,35.1,0,0,0,0,4,18,3,1,11,2022,113,92,115,122,108.7142857,12.24356002,111.8571429,10.94642297,112.8666667,11.58397625,1.799,0.444135631
19-03-2022,Clothing,Store_A,105,0,30,42.54,0.6,4.5,35.4,1,0,0,0,5,19,3,1,11,2022,106,116,106,112,110.7142857,9.995236961,111.2142857,11.01173201,112.3333333,11.51710372,1.418,0.294781382
20-03-2022,Clothing,Store_A,104,0,30,46.98,0.6,4.5,34,1,0,0,0,6,20,3,1,11,2022,105,91,102,104,109.1428571,9.889869757,111.1428571,11.05132879,112.1,11.59473721,1.566,0.361430396
21-03-2022,Clothing,Store_A,116,0,30,41.86,0.6,4.5,31.8,0,0,0,0,0,21,3,1,12,2022,104,110,114,110,111,6.582805886,111.2857143,10.93637946,112.1,11.59473721,1.395333333,0.28332537
22-03-2022,Clothing,Store_A,116,0,30,42.49,0.6,4.5,30.3,0,0,0,0,1,22,3,1,12,2022,116,119,125,85,111.8571429,6.817344826,111.4285714,10.98750539,112.3,11.60900364,1.416333333,0.293951518
23-03-2022,Clothing,Store_A,124,0,30,47.7,0.6,4.5,36.9,0,0,0,0,2,23,3,1,12,2022,116,120,128,116,111.4285714,6.373307432,110.7857143,10.37881401,113.3333333,10.41329831,1.59,0.371069182
24-03-2022,Clothing,Store_A,130,1,30,50.8,0.6,4.5,36.4,0,0,0,0,3,24,3,1,12,2022,124,113,115,118,112,7.371114796,110.5,9.913083817,113.6,10.58496005,1.693333333,0.409448819
25-03-2022,Clothing,Store_A,96,0,30,51.88,0.6,4.5,31.9,0,0,0,0,4,25,3,1,12,2022,130,106,92,137,114.4285714,10.0640804,111.5714286,11.16804704,114,10.97646385,1.729333333,0.421742483
26-03-2022,Clothing,Store_A,95,0,30,49.57,0.6,4.5,35.5,1,0,0,0,5,26,3,1,12,2022,96,105,116,108,113,11.98610306,111.8571429,10.66884135,112.6333333,10.55848518,1.652333333,0.394795239
27-03-2022,Clothing,Store_A,101,0,30,52.91,0.6,4.5,26.6,1,0,0,0,6,27,3,1,12,2022,95,104,91,101,111.5714286,13.5874592,110.3571429,11.4864947,112.2,11.01221892,1.763666667,0.432999433
28-03-2022,Clothing,Store_A,129,0,30,49.34,0.6,4.5,33.7,0,0,0,0,0,28,3,1,13,2022,101,116,110,103,111.1428571,13.9095719,111.0714286,10.45476914,112.2,11.01221892,1.644666667,0.391974058
29-03-2022,Clothing,Store_A,118,0,30,40.09,0.6,4.5,38.8,0,0,0,0,1,29,3,1,13,2022,129,116,119,123,113,15.4488403,112.4285714,11.48721219,113.0666667,11.28298485,1.336333333,0.251683712
30-03-2022,Clothing,Store_A,116,0,30,48.51,0.6,4.5,34.2,0,0,0,0,2,30,3,1,13,2022,118,124,120,115,113.2857143,15.53184133,112.3571429,11.44624321,112.9,11.16753299,1.617,0.38157081
31-03-2022,Clothing,Store_A,124,0,30,44.49,0.6,4.5,33.7,0,0,0,0,3,31,3,1,13,2022,116,130,113,120,112.1428571,14.89327109,112.0714286,11.28964322,112.9333333,11.17550688,1.483,0.325691167
01-04-2022,Clothing,Store_A,97,0,30,52.57,0.6,4.5,38.8,0,0,0,0,4,1,4,2,13,2022,124,96,106,131,111.2857143,13.82888626,112.8571429,11.73330003,113.0666667,11.28604061,1.752333333,0.429332319
02-04-2022,Clothing,Store_A,103,0,30,46.4,0.6,4.5,35,1,0,0,0,5,2,4,2,13,2022,97,95,105,115,111.4285714,13.64865247,112.2142857,12.3673178,111.9333333,11.12912716,1.546666667,0.353448276
03-04-2022,Clothing,Store_A,113,0,30,50.65,0.6,4.5,35.2,1,0,0,0,6,3,4,2,13,2022,103,101,104,115,112.5714286,12.31336865,112.0714286,12.46820131,111.5333333,11.23029564,1.688333333,0.407699901
04-04-2022,Clothing,Store_A,105,0,30,51.93,0.6,4.5,37.6,0,0,0,0,0,4,4,2,14,2022,113,129,116,106,114.2857143,11.22072912,112.7142857,12.25014017,111.4666667,11.21493257,1.731,0.422299249
05-04-2022,Clothing,Store_A,118,0,30,53.63,0.6,4.5,34.2,0,0,0,0,1,5,4,2,14,2022,105,118,116,102,110.8571429,9.511897312,111.9285714,12.37531218,111.4333333,11.23321225,1.787666667,0.440611598
06-04-2022,Clothing,Store_A,135,0,30,47.18,0.6,4.5,36.7,0,0,0,0,2,6,4,2,14,2022,118,116,124,114,110.8571429,9.511897312,112.0714286,12.43731535,111.9666667,11.14940337,1.572666667,0.364137346
07-04-2022,Clothing,Store_A,136,1,30,48.72,0.6,4.5,40,0,0,0,0,3,7,4,2,14,2022,135,124,130,125,113.5714286,13.21435006,112.8571429,13.54682559,112.6666667,11.91444598,1.624,0.384236453
08-04-2022,Clothing,Store_A,99,0,30,43.18,0.6,4.5,34.8,0,0,0,0,4,8,4,2,14,2022,136,97,96,128,115.2857143,15.39171082,113.2857143,14.20957733,113.0333333,12.4636944,1.439333333,0.305233905
09-04-2022,Clothing,Store_A,99,0,30,47.86,0.6,4.5,32.7,1,0,0,0,5,9,4,2,14,2022,99,103,95,115,115.5714286,15.00952079,113.5,13.94908323,112.0666667,12.38723852,1.595333333,0.373171751
10-04-2022,Clothing,Store_A,107,0,30,50.78,0.6,4.5,33.4,1,0,0,0,6,10,4,2,14,2022,99,113,101,92,115,15.63116545,113.7857143,13.57700869,111.5333333,12.59921545,1.692666667,0.409216227
11-04-2022,Clothing,Store_A,114,0,30,51.39,0.6,4.5,34.4,0,0,0,0,0,11,4,2,15,2022,107,105,129,116,114.1428571,15.9209356,114.2142857,13.23270175,112.0333333,12.08442524,1.713,0.416228838
12-04-2022,Clothing,Store_A,119,0,30,47.39,0.6,4.5,32.4,0,0,0,0,1,12,4,2,15,2022,114,118,118,91,115.4285714,15.41489694,113.1428571,12.53215644,111.9666667,12.06729217,1.579666667,0.366955054
13-04-2022,Clothing,Store_A,135,0,30,43.91,0.6,4.5,31.4,0,0,0,0,2,13,4,2,15,2022,119,135,116,110,115.5714286,15.44729904,113.2142857,12.56477721,112.9,11.45711645,1.463666667,0.316784332
14-04-2022,Clothing,Store_A,113,0,30,51.58,0.6,4.5,37.4,0,0,0,0,3,14,4,2,15,2022,135,136,124,119,115.5714286,15.44729904,114.5714286,13.84926705,113.7333333,12.1284315,1.719333333,0.418379217
15-04-2022,Clothing,Store_A,106,0,30,40.24,0.6,4.5,35.3,0,0,0,0,4,15,4,2,15,2022,113,99,97,120,112.2857143,12.55274586,113.7857143,13.58267319,113.5333333,12.08799157,1.341333333,0.254473161
16-04-2022,Clothing,Store_A,108,0,30,44.45,0.6,4.5,34.3,1,0,0,0,5,16,4,2,15,2022,106,99,103,113,113.2857143,11.55731061,114.4285714,12.92412345,113.0666667,12.09996675,1.481666667,0.325084364
17-04-2022,Clothing,Store_A,84,0,30,44.17,0.6,4.5,34.6,1,0,0,0,6,17,4,2,15,2022,108,107,113,106,114.5714286,10.11364001,114.7857143,12.65019654,112.9,12.13530046,1.472333333,0.320805977
18-04-2022,Clothing,Store_A,115,0,30,53.59,0.6,4.5,35.7,0,0,0,0,0,18,4,2,16,2022,84,114,105,105,111.2857143,15.35919145,112.7142857,15.10185201,112.1666667,13.18589459,1.786333333,0.440194066
19-04-2022,Clothing,Store_A,114,0,30,49.16,0.6,4.5,38.9,0,0,0,0,1,19,4,2,16,2022,115,119,118,104,111.4285714,15.39325765,113.4285714,14.94458629,112.5,13.12473317,1.638666667,0.389747762
20-04-2022,Clothing,Store_A,111,0,30,44.55,0.6,4.5,33.4,0,0,0,0,2,20,4,2,16,2022,114,135,135,116,110.7142857,15.09651489,113.1428571,14.8885973,112.8333333,13.02804226,1.485,0.326599327
21-04-2022,Clothing,Store_A,140,1,30,46.88,0.6,4.5,44.3,0,0,0,0,3,21,4,2,16,2022,111,113,136,116,107.2857143,10.76590739,111.4285714,13.49480975,112.6666667,13.01811293,1.562666667,0.360068259
22-04-2022,Clothing,Store_A,100,0,30,44.41,0.6,4.5,28.4,0,0,0,0,4,22,4,2,16,2022,140,106,99,124,111.1428571,16.47653454,111.7142857,14.08451726,113.4666667,13.9351536,1.480333333,0.324476469
23-04-2022,Clothing,Store_A,118,0,30,51.8,0.6,4.5,36.6,1,0,0,0,5,23,4,2,16,2022,100,108,99,130,110.2857143,16.93826325,111.7857143,14.0174538,112.6666667,13.99835787,1.726666667,0.420849421
24-04-2022,Clothing,Store_A,106,0,30,45.53,0.6,4.5,31.8,1,0,0,0,6,24,4,2,16,2022,118,84,107,96,111.7142857,17.13392625,113.1428571,13.59783435,112.2666667,13.65317529,1.517666667,0.341093784
25-04-2022,Clothing,Store_A,111,0,30,44.33,0.6,4.5,31.8,0,0,0,0,0,25,4,2,17,2022,106,115,114,95,114.8571429,12.62838828,113.0714286,13.63515979,112.6,13.36129252,1.477666667,0.323257388
26-04-2022,Clothing,Store_A,125,0,30,42.67,0.6,4.5,35.9,0,0,0,0,1,26,4,2,17,2022,111,114,119,101,114.2857143,12.71107504,112.8571429,13.64301536,113.1333333,12.94746236,1.422333333,0.296929927
27-04-2022,Clothing,Store_A,142,1,30,43.83,0.6,4.5,35.3,0,0,0,0,2,27,4,2,17,2022,125,111,135,129,115.8571429,13.33452376,113.2857143,13.94179423,113.9333333,12.91332734,1.461,0.315537303
28-04-2022,Clothing,Store_A,117,0,30,41.5,0.6,4.5,30.4,0,0,0,0,3,28,4,2,17,2022,142,140,113,118,120.2857143,16.27589512,113.7857143,14.87475182,114.3666667,13.63434642,1.383333333,0.277108434
29-04-2022,Clothing,Store_A,96,0,30,39.53,0.6,4.5,35.5,0,0,0,0,4,29,4,2,17,2022,117,100,106,116,117,13.75984496,114.0714286,14.89689842,114.3333333,13.6263774,1.317666667,0.241082722
30-04-2022,Clothing,Store_A,127,1,30,45.48,0.6,4.5,31.3,1,0,0,0,5,30,4,2,17,2022,96,118,108,124,116.4285714,14.63850109,113.3571429,15.53956312,113.6666667,14.02542847,1.516,0.340369393
01-05-2022,Clothing,Store_A,114,0,30,43.1,0.6,4.5,33.4,1,0,0,0,6,1,5,2,17,2022,127,106,84,97,117.7142857,15.18457864,114.7142857,15.86204261,113.7666667,14.11207195,1.436666667,0.303944316
02-05-2022,Clothing,Store_A,98,0,30,45.64,0.6,4.5,34.8,0,0,0,0,0,2,5,2,18,2022,114,111,115,103,118.8571429,14.4387046,116.8571429,13.19590346,114.3333333,13.75232478,1.521333333,0.342681858
03-05-2022,Clothing,Store_A,133,0,30,47.16,0.6,4.5,32.5,0,0,0,0,1,3,5,2,18,2022,98,125,114,113,117,16.32993162,115.6428571,14.1291142,114.1666667,13.92364234,1.572,0.363867684
04-05-2022,Clothing,Store_A,122,0,30,49.18,0.6,4.5,38.2,0,0,0,0,2,4,5,2,18,2022,133,142,111,105,118.1428571,17.23783215,117,14.8531271,114.8333333,14.33847809,1.639333333,0.389995933
05-05-2022,Clothing,Store_A,102,0,30,50.46,0.6,4.5,28,0,0,0,0,3,5,5,2,18,2022,122,117,140,118,115.2857143,13.97276262,117.7857143,14.80217537,115.4,14.27223009,1.682,0.405469679
06-05-2022,Clothing,Store_A,106,0,30,45.42,0.6,4.5,30.6,0,0,0,0,4,6,5,2,18,2022,102,96,100,135,113.1428571,14.79221159,115.0714286,13.87008006,114.8666667,14.46930957,1.514,0.339498018
07-05-2022,Clothing,Store_A,101,0,30,46.19,0.6,4.5,29.7,1,0,0,0,5,7,5,2,18,2022,106,127,118,136,114.5714286,13.26470433,115.5,13.45505338,113.9,14.04021318,1.539666667,0.350508768
08-05-2022,Clothing,Store_A,111,0,30,50.51,0.6,4.5,34.2,1,0,0,0,6,8,5,2,18,2022,101,114,106,99,110.8571429,12.83781616,114.2857143,13.96935421,112.7333333,13.58735044,1.683666667,0.406058206
09-05-2022,Clothing,Store_A,113,0,30,51.98,0.6,4.5,31.6,0,0,0,0,0,9,5,2,19,2022,111,98,111,99,110.4285714,12.76528029,114.6428571,13.80416405,113.1333333,13.3435593,1.732666667,0.422854944
10-05-2022,Clothing,Store_A,115,0,30,45.03,0.6,4.5,28.2,0,0,0,0,1,10,5,2,19,2022,113,133,125,107,112.5714286,11.53049786,114.7857143,13.77388036,113.6,13.07432335,1.501,0.333777482
11-05-2022,Clothing,Store_A,128,0,30,46.65,0.6,4.5,33.1,0,0,0,0,2,11,5,2,19,2022,115,122,142,114,110,7.527726527,114.0714286,13.45913636,113.8666667,13.01652354,1.555,0.356913183
12-05-2022,Clothing,Store_A,110,0,30,53.57,0.6,4.5,33.9,0,0,0,0,3,12,5,2,19,2022,128,102,117,119,110.8571429,9.263343015,113.0714286,11.61871359,114.3333333,13.26996436,1.785666667,0.439985066
13-05-2022,Clothing,Store_A,109,0,30,45.51,0.6,4.5,32.7,0,0,0,0,4,13,5,2,19,2022,110,106,96,135,112,8.445906306,112.5714286,11.58722297,114.0333333,13.2625564,1.517,0.340804219
14-05-2022,Clothing,Store_A,110,0,30,51.68,0.6,4.5,34.8,1,0,0,0,5,14,5,2,19,2022,109,101,127,113,112.4285714,8.162049229,113.5,10.63918736,113.1666667,12.68200825,1.722666667,0.419504644
15-05-2022,Clothing,Store_A,105,0,30,52.51,0.6,4.5,30.2,1,0,0,0,6,15,5,2,19,2022,110,111,114,106,113.7142857,6.62606685,112.2857143,9.92610057,113.0666667,12.6951887,1.750333333,0.428680251
16-05-2022,Clothing,Store_A,106,0,30,53.86,0.6,4.5,34.4,0,0,0,0,0,16,5,2,20,2022,105,113,98,108,112.8571429,7.38079877,111.6428571,10.09651229,113.0333333,12.71567952,1.795333333,0.443000371
17-05-2022,Clothing,Store_A,125,0,30,43.83,0.6,4.5,38.2,0,0,0,0,1,17,5,2,20,2022,106,115,133,84,111.8571429,7.819389819,112.2142857,9.472052587,112.9666667,12.74817995,1.461,0.315537303
18-05-2022,Clothing,Store_A,138,1,30,41.09,0.6,4.5,30.7,0,0,0,0,2,18,5,2,20,2022,125,128,122,115,113.2857143,9.268482179,111.6428571,8.28907662,114.3333333,11.68946869,1.369666667,0.269895352
19-05-2022,Clothing,Store_A,104,0,30,42.81,0.6,4.5,35.5,0,0,0,0,3,19,5,2,20,2022,138,110,102,114,114.7142857,12.21630448,112.7857143,10.60608368,115.1,12.46332551,1.427,0.299229152
20-05-2022,Clothing,Store_A,106,0,30,48.14,0.6,4.5,35.5,0,0,0,0,4,20,5,2,20,2022,104,109,106,111,113.8571429,12.79880947,112.9285714,10.46212426,114.7666667,12.62641821,1.604666667,0.376817615
21-05-2022,Clothing,Store_A,109,1,30,42.13,0.6,4.5,29.5,1,0,0,0,5,21,5,2,20,2022,106,110,101,140,113.4285714,13.03657858,112.9285714,10.46212426,114.6,12.71057122,1.404333333,0.287918348
22-05-2022,Clothing,Store_A,98,0,30,42.12,0.6,4.5,32,1,0,0,0,6,22,5,2,20,2022,109,105,111,100,113.2857143,13.08579746,113.5,9.967254078,113.5666667,11.80205515,1.404,0.287749288
23-05-2022,Clothing,Store_A,109,0,30,52.03,0.6,4.5,31.1,0,0,0,0,0,23,5,2,21,2022,98,106,113,118,112.2857143,14.05601041,112.5714286,10.78969798,113.5,11.88667756,1.734333333,0.423409571
24-05-2022,Clothing,Store_A,111,0,30,44.22,0.6,4.5,30.5,0,0,0,0,1,24,5,2,21,2022,109,125,115,106,112.7142857,13.87701079,112.2857143,10.83036026,113.2,11.88276062,1.474,0.321573948
25-05-2022,Clothing,Store_A,121,0,30,52.11,0.6,4.5,29.1,0,0,0,0,2,25,5,2,21,2022,111,138,128,111,110.7142857,12.77646646,112,10.80598125,113.3666667,11.81315262,1.737,0.424294761
26-05-2022,Clothing,Store_A,108,0,30,43.36,0.6,4.5,25.6,0,0,0,0,3,26,5,2,21,2022,121,104,110,125,108.2857143,7.064330252,111.5,10.15078625,113.7,11.88493686,1.445333333,0.308118081
27-05-2022,Clothing,Store_A,108,0,30,46.88,0.6,4.5,30,0,0,0,0,4,27,5,2,21,2022,108,106,109,142,108.8571429,6.817344826,111.3571429,10.18752739,113.1333333,11.73187034,1.562666667,0.360068259
28-05-2022,Clothing,Store_A,113,0,30,50.14,0.6,4.5,32,1,0,0,0,5,28,5,2,21,2022,108,109,110,117,109.1428571,6.718843438,111.2857143,10.20880895,112,10.41550568,1.671333333,0.401675309
29-05-2022,Clothing,Store_A,89,0,30,53.39,0.6,4.5,24.1,1,0,0,0,6,29,5,2,21,2022,113,98,105,96,109.7142857,6.872997544,111.5,10.21123062,111.8666667,10.37481477,1.779666667,0.438097022
